trans_date_trans_time,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud
2019-02-25 17:39:38,fraud_Simonis-Prohaska,misc_pos,182.15,M,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1980-12-21,40.718157,-74.73693,0
2019-07-21 16:06:21,fraud_Connelly-Carter,home,77.74,M,Oaks,PA,19456,40.1334,-75.4536,737,Oceanographer,1987-04-24,40.959733,-75.575969,0
2019-03-21 21:26:57,fraud_Hammes-Beatty,kids_pets,1.89,M,Holliday,TX,76366,33.6751,-98.6576,2317,Chief Technology Officer,1964-08-23,34.444112,-99.654702,0
2019-06-24 14:27:49,fraud_Stiedemann Ltd,food_dining,52.29,M,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453,Toxicologist,1974-02-15,41.729868,-78.052441,0
2019-02-18 00:49:38,"fraud_Larkin, Stracke and Greenfelder",entertainment,26.75,F,West Columbia,SC,29170,33.9568,-81.1405,52126,Chemical engineer,1929-08-23,33.770032,-80.378588,0
2019-07-10 23:41:59,"fraud_Douglas, DuBuque and McKenzie",travel,8.94,M,Emporium,PA,15834,41.5177,-78.2536,4533,Public affairs consultant,1969-11-01,40.724204,-78.188231,1
2019-08-17 19:42:46,fraud_Windler LLC,kids_pets,292.09,F,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,1973-10-14,41.380963,-73.481365,0
2019-09-30 13:19:07,fraud_Grimes LLC,entertainment,96.74,M,Seneca,WI,54654,43.2064,-90.9405,153,Quantity surveyor,1962-02-14,43.522631,-90.41305,0
2020-03-22 09:32:01,fraud_Bruen-Yost,misc_pos,28.12,M,Collettsville,NC,28611,35.9946,-81.7266,885,Soil scientist,1988-09-15,36.438703,-81.495982,0
2020-02-06 17:44:43,fraud_Barton LLC,kids_pets,6.42,M,San Diego,CA,92101,32.7185,-117.1593,1241364,Comptroller,1987-11-30,33.715696,-116.736251,0
2019-05-05 22:16:16,fraud_Morissette LLC,entertainment,28.33,M,Tyaskin,MD,21865,38.2833,-75.8465,470,Music tutor,1965-04-07,39.077663,-76.188578,0
2019-08-05 00:41:18,fraud_Cummerata-Jones,gas_transport,61.46,M,Bolivar,PA,15923,40.3673,-79.1605,1770,"Administrator, local government",1994-12-08,40.691862,-79.916445,0
2020-02-01 02:03:11,"fraud_Towne, Greenholt and Koepp",shopping_net,2.17,M,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",1965-06-30,40.391244,-74.107745,0
2019-08-10 20:52:11,"fraud_Hermiston, Russel and Price",food_dining,53.04,F,Hopewell,VA,23860,37.2876,-77.295,31970,Purchasing manager,1935-08-15,37.141738,-77.330127,0
2020-05-23 15:40:02,fraud_Wilkinson LLC,personal_care,48.07,F,Holstein,NE,68950,40.4542,-98.6538,331,Telecommunications researcher,1950-08-19,40.094864,-98.891507,1
2019-10-27 15:41:15,fraud_Kub PLC,personal_care,7.89,M,Norman Park,GA,31771,31.2462,-83.6549,5666,Rural practice surveyor,2003-09-14,31.232290000000003,-82.87966999999999,0
2019-06-11 22:20:08,fraud_Romaguera Ltd,health_fitness,3.94,F,Hudson,KS,67545,38.1485,-98.6408,215,Probation officer,1968-11-22,37.743262,-98.517983,0
2019-07-22 13:53:22,fraud_Heathcote LLC,shopping_net,40.57,F,Burlington,WA,98233,48.4786,-122.3345,14871,Public house manager,1974-03-10,48.407158,-123.314576,0
2019-10-31 04:46:17,"fraud_Greenholt, Jacobi and Gleason",gas_transport,55.25,M,Dieterich,IL,62424,39.0319,-88.4074,2092,"Psychologist, clinical",1962-04-30,38.338816,-87.824208,0
2019-12-02 20:10:37,fraud_Windler LLC,kids_pets,46.2,F,Wetmore,MI,49895,46.3535,-86.6345,765,Immunologist,1972-06-12,45.679709,-86.980784,0
2020-01-27 19:31:29,fraud_Breitenberg-Hermiston,kids_pets,31.84,F,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,1983-02-08,33.277589,-78.06599399999999,0
2020-02-11 09:41:40,"fraud_Zieme, Bode and Dooley",gas_transport,84.32,M,Omaha,NE,68117,41.2064,-95.9953,518429,"Surveyor, land/geomatics",1995-10-10,41.359136,-95.852764,0
2020-03-20 17:12:10,fraud_Bednar PLC,kids_pets,50.2,M,Bryant,WI,54418,45.203,-88.9983,1080,Information systems manager,1979-01-08,44.935149,-89.656091,0
